Date,GW
09/10/2019,83.2089
09/11/2019,84.8211
09/12/2019,82.1792
09/13/2019,84.0869
09/14/2019,80.1357
09/15/2019,69.40855
09/16/2019,80.8776
09/17/2019,83.2263
09/18/2019,84.1487
09/19/2019,82.7017
09/20/2019,81.7572
09/21/2019,75.6056
09/22/2019,73.5399
09/23/2019,88.8629
09/24/2019,90.0387
09/25/2019,89.2022
09/26/2019,91.8183
09/27/2019,94.0655
09/28/2019,89.372
09/29/2019,81.7481
09/30/2019,92.2636
10/01/2019,95.4144
10/02/2019,91.8009
10/03/2019,88.3663
10/04/2019,88.0696
10/05/2019,82.7544
10/06/2019,76.3772
10/07/2019,88.8839
10/08/2019,90.0395
10/09/2019,91.7708
10/10/2019,90.1344
10/11/2019,89.9466
10/12/2019,83.0851
10/13/2019,74.4507
10/14/2019,88.2262
10/15/2019,89.7792
10/16/2019,89.8608
10/17/2019,90.3391
10/18/2019,91.1363
10/19/2019,85.4659
10/20/2019,76.7607
10/21/2019,90.2416
10/22/2019,91.7276
10/23/2019,93.3008
10/24/2019,93.1403
10/25/2019,90.1856
10/26/2019,81.4674
10/27/2019,76.432
10/28/2019,86.5135
10/29/2019,86.9653
10/30/2019,86.0767
10/31/2019,81.3382
11/01/2019,65.5077
11/02/2019,66.7857
11/03/2019,69.74975
11/04/2019,86.931
11/05/2019,89.341
11/06/2019,85.9462
11/07/2019,84.0308
11/08/2019,86.792
11/09/2019,81.9726
11/10/2019,75.2042
11/11/2019,86.0861
11/12/2019,85.6404
11/13/2019,83.0848
11/14/2019,84.4581
11/15/2019,85.91675
11/16/2019,83.19175
11/17/2019,77.32415
11/18/2019,91.15625
11/19/2019,91.5383
11/20/2019,91.5294
11/21/2019,87.1393
11/22/2019,86.459
11/23/2019,78.7142
11/24/2019,72.2745
11/25/2019,85.7295
11/26/2019,86.9967
11/27/2019,87.6187
11/28/2019,84.9259
11/29/2019,81.3234
11/30/2019,70.8226
12/01/2019,69.0952
12/02/2019,80.6187
12/03/2019,74.0339
12/04/2019,83.3803
12/05/2019,87.3317
12/06/2019,88.2164
12/07/2019,79.363
12/08/2019,69.7159
12/09/2019,80.636
12/10/2019,84.2916
12/11/2019,84.9005
12/12/2019,84.9474
12/13/2019,85.7052
12/14/2019,79.3615
12/15/2019,75.8807
12/16/2019,87.5839
12/17/2019,87.0462
